"Key","Mode","Menu","Call Type","Call Object","Call Object Call Type","Call Object TG/DMR ID","Digi Call Type","Content"
"1","Menu","SMS","Analog","Off","","Group Call","","Off","0"
"2","Call","SMS","Analog","Off","","Group Call","","Off","0"
"3","Call","SMS","Analog","Off","","Group Call","","Off","0"
"4","Call","SMS","Analog","Off","","Group Call","","Off","0"
"5","Call","SMS","Analog","Off","","Group Call","","Off","0"
"6","Call","SMS","Analog","Off","","Group Call","","Off","0"
"7","Call","SMS","Analog","Off","","Group Call","","Off","0"
"8","Call","SMS","Analog","Off","","Group Call","","Off","0"
"9","Call","SMS","Analog","Off","","Group Call","","Off","0"
"10","Call","SMS","Analog","Off","","Group Call","","Off","0"
"11","Call","SMS","Analog","Off","","Group Call","","Off","0"
"12","Call","SMS","Analog","Off","","Group Call","","Off","0"
"13","Call","SMS","Analog","Off","","Group Call","","Off","0"
"14","Call","SMS","Analog","Off","","Group Call","","Off","0"
"15","Call","SMS","Analog","Off","","Group Call","","Off","0"
"16","Call","SMS","Analog","Off","","Group Call","","Off","0"
"17","Call","SMS","Analog","Off","","Group Call","","Off","0"
"18","Call","SMS","Analog","Off","","Group Call","","Off","0"
"19","Menu","Contact List","Analog","Off","","Group Call","","Off","0"
"20","Menu","Manual Dial","Analog","Off","","Group Call","","Off","0"
"21","Menu","Call Log","Analog","Off","","Group Call","","Off","0"
"22","Menu","Dialed Call","Analog","Off","","Group Call","","Off","0"
"23","Menu","Received Call","Analog","Off","","Group Call","","Off","0"
"24","Menu","Missed Call","Analog","Off","","Group Call","","Off","0"
