"No.","Receive Frequency","Transmit Frequency","Color Code","Slot","Name"
"1","145.73750","145.13750","0","Slot2","Almsta"
"2","434.91250","432.91250","0","Slot2","Arlanda"
"3","145.62500","145.02500","0","Slot2","Botkyrka 1"
"4","434.87500","432.87500","0","Slot2","Botkyrka 2"
"5","434.83750","432.83750","0","Slot2","Dalaro"
"6","434.58750","432.58750","0","Slot2","Djuro"
"7","434.56250","432.56250","0","Slot2","Haninge 4"
"8","434.53750","432.53750","0","Slot2","Haninge 5"
"9","434.92500","432.92500","0","Slot2","Johanneshov"
"10","145.57500","144.97500","0","Slot2","Kista 1"
"11","434.95000","432.95000","0","Slot2","Kista 5"
"12","434.98750","432.98750","0","Slot2","Kista 6"
"13","434.81250","432.81250","0","Slot2","Norrtalje 3"
"14","434.61250","432.61250","0","Slot2","Nynashamn 2"
"15","434.78750","432.78750","0","Slot2","Rimbo"
"16","434.88750","432.88750","0","Slot2","Sigtuna"
"17","434.68750","432.68750","1","Slot2","Soderort"
"18","145.70000","145.10000","1","Slot2","Sodertalje 1"
"19","434.53750","432.53750","1","Slot2","Sodertorn"
"20","434.96250","432.96250","0","Slot2","Stockholm 2"
"21","434.51250","432.51250","12","Slot2","Tyreso"
"22","434.76250","432.76250","0","Slot2","Upplands Vasby 2"
"23","434.97500","432.97500","0","Slot2","Varmdo 1"
"24","145.72500","145.12500","2","Slot2","Kalix 1"
"25","434.75000","432.75000","2","Slot2","Kalix 2"
"26","434.72500","432.72500","2","Slot2","Kalix 3"
"27","434.51250","432.51250","2","Slot2","Kiruna 2"
"28","434.90000","432.90000","2","Slot2","Lulea 2"
"29","145.67500","145.07500","2","Slot2","Seskaro"
"30","434.97500","432.97500","2","Slot2","Umea 1"
"31","434.55000","432.55000","3","Slot2","Bollnas 1"
"32","145.58750","144.98750","3","Slot2","Bollnas 2"
"33","434.52500","432.52500","3","Slot2","Follinge"
"34","434.57500","432.57500","3","Slot2","Gavle 2"
"35","434.73750","432.73750","3","Slot2","Gavle 3"
"36","145.71250","145.11250","3","Slot2","Hudiksvall 2"
"37","434.57500","432.57500","3","Slot2","Hudiksvall 3"
"38","434.53750","432.53750","3","Slot2","Sundsvall 2"
"39","434.80000","432.80000","1","Slot2","Sundsvall 3"
"40","434.52500","432.52500","3","Slot2","Soderhamn 3"
"41","145.57500","144.97500","3","Slot2","Soderhamn 4"
"42","145.57500","144.97500","3","Slot2","Ornskoldsvik 4"
"43","434.80000","432.80000","12","Slot2","Borlange"
"44","434.85000","432.85000","1","Slot2","Karlstad"
"45","434.63750","432.63750","4","Slot2","Kopparberg 2"
"46","145.62500","145.02500","4","Slot2","Sunne 1"
"47","434.66250","432.66250","4","Slot2","Vansbro 3"
"48","434.72500","432.72500","4","Slot2","Orebro 2"
"49","434.52500","432.52500","5","Slot2","Knivsta"
"50","434.51250","432.51250","5","Slot2","Linkoping 4"
"51","145.66250","145.06250","5","Slot2","Linkoping 5"
"52","434.87500","432.87500","5","Slot2","Linkoping 6"
"53","434.95000","432.95000","1","Slot2","Norrkoping 1"
"54","434.51250","432.51250","1","Slot2","Uppsala 3"
"55","434.53750","432.53750","6","Slot2","Alingas 2"
"56","434.81250","432.81250","6","Slot2","Angered 1"
"57","145.70000","145.10000","6","Slot2","Bengstfors 1"
"58","434.68750","432.68750","6","Slot2","Bengtsfors 2"
"59","434.55000","432.55000","6","Slot2","Boras 1"
"60","434.82500","432.82500","6","Slot2","Floda"
"61","434.78750","432.78750","6","Slot2","Goteborg 1"
"62","145.58750","144.98750","6","Slot2","Kortedala"
"63","434.72500","432.72500","6","Slot2","Kungsbacka 1"
"64","145.57500","144.97500","6","Slot2","Kungshamn"
"65","434.98750","432.98750","6","Slot2","Skara"
"66","145.71250","145.11250","6","Slot2","Stenungsund 1"
"67","434.56250","432.56250","6","Slot2","Stenungsund 3"
"68","145.67500","145.07500","6","Slot2","Tanumshede"
"69","434.88750","432.88750","1","Slot2","Trollhattan 1"
"70","145.76250","145.16250","6","Slot2","Trollhattan 2"
"71","145.63750","145.03750","6","Slot2","Uddevalla"
"72","434.57500","432.57500","6","Slot2","Vargarda"
"73","145.78750","145.18750","6","Slot2","Ytterby"
"74","434.92500","432.92500","7","Slot2","Aneby 3"
"75","434.95000","432.95000","7","Slot2","Bjarnum"
"76","434.61250","432.61250","7","Slot2","Blentarp"
"77","434.60000","432.60000","7","Slot2","Bruzaholm"
"78","434.56250","432.56250","7","Slot2","Eksjo"
"79","434.51250","432.51250","7","Slot2","Glumslov"
"80","434.60000","432.60000","7","Slot2","Helsingborg 1"
"81","434.65000","432.65000","7","Slot2","Helsingborg 3"
"82","434.91250","432.91250","7","Slot2","Hassleholm 1"
"83","434.92500","432.92500","0","Slot2","Jonkoping 1"
"84","434.52500","432.52500","7","Slot2","Kristianstad"
"85","434.58750","432.58750","7","Slot2","Lund 2"
"86","434.95000","432.95000","7","Slot2","Malmo 1"
"87","434.90000","432.90000","7","Slot2","Nassjo 3"
"88","145.58750","144.98750","7","Slot2","Nassjo 4"
"89","434.70000","432.70000","7","Slot2","Vaxjo 2"
"90","434.97500","432.97500","7","Slot2","Orkelljunga"
