"No.","Scan List Name","Scan Channel Member","Scan Channel Member RX Frequency","Scan Channel Member TX Frequency","Scan Mode","Priority Channel Select","Priority Channel 1","Priority Channel 1 RX Frequency","Priority Channel 1 TX Frequency","Priority Channel 2","Priority Channel 2 RX Frequency","Priority Channel 2 TX Frequency","Revert Channel","Look Back Time A[s]","Look Back Time B[s]","Dropout Delay Time[s]","Dwell Time[s]"
"1","Hagsatra","Hotspot|Crossbandsrptr","433.01250|434.42500","433.01250|434.42500","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"2","SM0","Botkyrka 1|Botkyrka 2|Brandbergen|Brottby 1|Brottby 2|Dalaro|Galo|Hagsatra|Haninge 1|Haninge 2|Haninge 3|Ingaro 1|Ingaro 2|Johanneshov|Kista 1|Kista 2|Kista 3|Kista 4|Kista 5|Kista 6|Kopparmora|Norrtalje|Nynashamn 1|Nynashamn 2|Rimbo|Sandhamn|Sigtuna|Solna 1|Solna 2|Stockholm 1|Stockholm 2|Stockholm City|Stockholm Norr|Soder|Sodertalje 1|Sodertalje 2|Tullinge|Tyreso|Taby 1|Taby 2|Upplands Vasby 1|Upplands Vasby 2|Vallentuna|Varmdo|Vastberga 1|Vastberga 2|Almsta 1|Almsta 2","145.62500|434.87500|434.56250|145.65000|434.80000|434.83750|434.68750|434.42500|145.68750|434.75000|434.77500|145.22500|145.77500|434.92500|145.57500|145.67500|434.62500|434.66250|434.95000|434.98750|434.48750|434.81250|145.71250|434.61250|434.78750|434.37500|434.88750|145.76250|434.85000|145.72500|433.50000|434.96250|145.78750|434.72500|145.70000|434.82500|145.66250|434.51250|434.70000|434.73750|434.67500|434.76250|434.86250|434.97500|145.60000|434.90000|145.73750|434.60000","145.02500|432.87500|432.56250|145.05000|432.80000|432.83750|432.68750|434.42500|145.08750|432.75000|432.77500|145.22500|145.17500|432.92500|144.97500|145.07500|432.62500|432.66250|432.95000|432.98750|434.48750|432.81250|145.11250|432.61250|432.78750|434.37500|432.88750|145.16250|432.85000|145.12500|433.50000|432.96250|145.18750|432.72500|145.10000|432.82500|145.06250|432.51250|432.70000|432.73750|432.67500|432.76250|432.86250|432.97500|145.00000|432.90000|145.13750|432.60000","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"3","SM1","Endre|Slite","145.77500|434.60000","145.17500|432.60000","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"4","SM2","Alvsbyn|Arjeplog|Boden|Jorn|Kalix 1|Kalix 2|Kalix 3|Kiruna 1|Kiruna 2|Kiruna 3|Kristineberg|Lulea 1|Lulea 2|Lycksele 1|Lycksele 2|Nordmaling|Pitea 1|Pitea 2|Seskaro|Skelleftea|Sorsele|Storuman 1|Storuman 2|Tarnaby|Umea 1|Umea 2|Vindeln|Vannas 1|Vannas 2","145.67500|145.70000|145.62500|145.75000|145.72500|434.75000|434.72500|145.62500|434.51250|434.82500|145.67500|145.65000|434.90000|145.77500|434.77500|434.67500|145.60000|434.60000|145.67500|145.70000|145.60000|145.72500|434.75000|145.62500|434.97500|145.65000|145.62500|145.72500|434.72500","145.07500|145.10000|145.02500|145.15000|145.12500|432.75000|432.72500|145.02500|432.51250|432.82500|145.07500|145.05000|432.90000|145.17500|433.17500|432.67500|145.00000|432.60000|145.07500|145.10000|145.00000|145.12500|433.15000|145.02500|432.97500|145.05000|145.02500|145.12500|432.72500","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"5","SM3","Bollnas 1|Bollnas 2|Bollnas 3|Borgsjo|Forsa 1|Forsa 2|Follinge|Gavle 1|Gavle 2|Gavle 3|Hoting|Hudiksvall 1|Hudiksvall 2|Hudiksvall 3|Harnosand|Kramfors|Ljusdal|Nordingra 1|Nordingra 2|Nyland 1|Nyland 2|Sandviken 1|Sandviken 2|Solleftea 1|Solleftea 2|Sundsvall 1|Sundsvall 2|Sundsvall 3|Soderhamn 1|Soderhamn 2|Soderhamn 3|Soderhamn 4|Utanede|Vemdalen|Are|Arsunda|Ornskoldsvik 1|Ornskoldsvik 2|Ornskoldsvik 3|Ornskoldsvik 4|Ostersund","434.55000|145.58750|145.65000|145.70000|434.67500|145.67500|434.52500|434.87500|434.57500|434.73750|145.60000|145.77500|145.71250|434.57500|434.72500|434.60000|434.90000|145.62500|434.85000|145.75000|434.95000|434.70000|434.82500|434.65000|145.65000|145.72500|434.53750|434.80000|145.75000|434.75000|434.52500|145.57500|145.61250|145.62500|145.72500|434.65000|434.77500|434.87500|145.77500|145.57500|434.75000","432.55000|144.98750|145.05000|145.10000|432.67500|145.07500|432.52500|432.87500|432.57500|432.73750|145.00000|145.17500|145.11250|432.57500|432.72500|432.60000|433.30000|145.02500|432.85000|145.15000|433.35000|432.70000|432.82500|433.05000|145.05000|145.12500|432.53750|432.80000|145.15000|433.15000|432.52500|144.97500|145.01250|145.02500|145.12500|436.25000|432.77500|432.87500|145.17500|144.97500|423.75000","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"6","SM4","Arvika|Borlange|Falun|Filipstad|Garphyttan|Grums|Hagfors|Karlstad|Kopparberg 1|Kopparberg 2|Leksand|Lindesberg|Ludvika 1|Ludvika 2|Mora 1|Mora 2|Mora 3|Orsa 1|Orsa 2|Sunne 1|Sunne 2|Torsby|Vansbro 1|Vansbro 2|Vansbro 3|Arjang|Orebro 1|Orebro 2","434.77500|434.80000|145.62500|145.70000|145.65000|434.72500|145.67500|434.85000|145.60000|434.63750|145.77500|145.68750|145.72500|434.72500|434.67500|434.85000|145.70000|434.75000|145.75000|145.62500|145.77500|434.62500|145.65000|434.65000|434.66250|145.72500|145.71250|434.72500","432.77500|432.80000|145.25000|145.10000|145.05000|432.72500|145.07500|432.85000|145.00000|432.63750|145.17500|145.08750|145.12500|433.12500|432.67500|432.85000|145.10000|433.15000|145.15000|145.02500|145.17500|432.62500|145.05000|433.05000|432.66250|145.12500|145.11250|432.72500","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"7","SM5","Arboga 1|Arboga 2|Eskilstuna 1|Eskilstuna 2|Eskilstuna 3|Finspang|Flen 1|Flen 2|Katrineholm|Kisa|Knivsta|Linkoping 1|Linkoping 2|Linkoping 3|Linkoping 4|Linkoping 5|Linkoping 6|Linkoping 7|Ljungsbro|Norrkoping 1|Norrkoping 2|Norrkoping 3|Sala|Trosa|Uppsala 1|Uppsala 2|Uppsala 3|Vingaker|Vasteras 1|Vasteras 2","434.87500|145.67500|434.97500|434.85000|145.61250|434.92500|145.63750|434.75000|145.78750|145.70000|434.52500|145.72500|434.90000|145.73750|434.51250|145.66250|434.87500|434.82500|145.62500|434.95000|145.60000|434.60000|145.71250|434.88750|145.75000|434.75000|434.51250|434.67500|145.77500|434.77500","432.87500|145.07500|432.97500|432.85000|145.01250|432.92500|145.03750|432.75000|145.18750|145.10000|432.52500|145.12500|432.80000|145.12750|432.51250|145.06250|432.87500|432.82500|145.02500|432.95000|145.00000|432.60000|145.11250|432.88750|145.15000|432.75000|432.51250|432.67500|145.17500|432.77500","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"8","SM6","Alingsas 1|Alingsas 2|Alingsas 3|Angered 1|Bengsfors 1|Bengsfors 2|Angered 2|Boras 1|Boras 2|Falkenberg|Floda|Goteborg 1|Goteborg 2|Goteborg 3|Goteborg 4|Halmstad 1|Halmstad 2|Kinnekulle 1|Kinnekulle 2|Kortedala|Kungsbacka 1|Kungsbacka 2|Kungshamn|Kungalv 1|Kungalv 2|Kungalv 3|Lidkoping 1|Lunden|Lysekil 1|Lysekil 2|Mariestad|Molndal 1|Molndal 2|Skara|Skene 1|Skene 2|Stenungsund 1|Stenungsund 2|Stenungsund 3|Stromstad|Tanumshede|Tidaholm|Trollhattan 1|Trollhattan 2|Uddevalla|Ulricehamn 1|Ulricehamn 2|Varberg 1|Varberg 2|Vargarda","145.62500|434.53750|434.62500|434.81250|145.70000|434.68750|434.92500|434.55000|145.77500|145.62500|434.82500|434.78750|434.97500|145.65000|434.60000|434.75000|145.67500|434.95000|145.60000|145.58750|434.72500|145.72500|145.57500|145.61250|434.90000|434.73750|434.70000|145.78750|145.60000|434.80000|434.90000|145.70000|434.70000|434.98750|145.60000|434.95000|145.71250|145.68750|434.56250|434.82500|145.67500|145.63750|434.87500|145.76250|145.63750|434.67500|434.65000|434.70000|145.70000|434.57500","145.02500|432.53750|432.62500|432.81250|145.10000|432.68750|432.92500|432.55000|145.17500|145.02500|432.82500|432.78750|432.97500|145.05000|432.60000|432.75000|145.07500|432.95000|145.00000|144.98750|432.72500|145.12500|144.97500|145.01250|432.90000|432.73750|432.70000|145.18750|145.00000|432.80000|432.90000|145.10000|432.70000|432.98750|145.00000|432.95000|145.11250|145.08750|432.56250|433.22500|145.07500|145.03750|432.87500|145.16250|145.03750|432.67500|432.65000|433.10000|145.10000|432.57500","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"9","SM7","Algutsrum 1|Algutsrum 2|Aneby 1|Aneby 2|Aneby 3|Bjarnum|Blentarp|Borgholm|Bruzaholm|Boda|Eksjo|Emmaboda|Eslov 1|Eslov 2|Gladsax|Glumslov|Gnosjo|Helsingborg 1|Helsingborg 2|Helsingborg 3|Hultsfred|Huskvarna|Hassleholm 1|Hassleholm 2|Jonkoping 1|Jonkoping 2|Karlskrona 1|Karlskrona 2|Kristianstad|Ljungby|Lund 1|Lund 2|Lund 3|Lyby|Lonnsboda|Malmo|Morbylanga|Morrum|Nybro|Nassjo 1|Nassjo 2|Nassjo 3|Nassjo 4|Oskarshamn 1|Oskarshamn 2|Simrishamn|Svangsta|Vetlanda 1|Vetlanda 2|Vitaby","145.60000|434.60000|145.77500|434.72500|434.92500|434.95000|434.61250|145.66250|434.60000|145.75000|434.56250|145.77500|434.81250|434.75000|434.88750|434.51250|145.68750|434.60000|145.65000|434.65000|145.76250|434.75000|434.91250|145.76250|434.97500|145.75000|145.75000|434.75000|434.52500|145.72500|434.72500|434.58750|145.77500|434.70000|434.90000|434.95000|145.62500|434.82500|145.68750|434.85000|145.65000|434.90000|145.58750|145.72500|434.72500|434.63750|434.92500|434.62500|145.62500|145.61250","145.00000|432.60000|145.17500|432.72500|432.92500|432.95000|432.61250|145.06250|432.60000|145.15000|432.56250|145.17500|432.81250|432.75000|432.88750|432.51250|145.08750|432.60000|145.05000|432.65000|145.06250|432.75000|432.91250|145.16250|432.97500|145.15000|145.15000|432.75000|432.52500|145.12500|432.72500|432.58750|145.17500|432.70000|433.30000|432.95000|145.02500|432.82500|145.08750|432.85000|145.05000|432.90000|144.98750|145.12500|432.72500|440.00000|432.92500|432.62500|145.02500|145.01250","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"10","Marin-VHF","L1|L2|F1|L3|F2|F3|16|23|26|66|71|72|73|74","155.50000|155.52500|155.62500|155.65000|155.77500|155.82500|156.80000|161.75000|161.90000|160.92500|156.57500|156.62500|156.67500|156.72500","155.50000|155.52500|155.62500|155.65000|155.77500|155.82500|156.80000|157.15000|157.30000|156.32500|156.57500|156.62500|156.67500|156.72500","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
